Timestamp: 2023-06-20T23:01:26+08:00
Carpark Number,Total Lots,Lots Available
HE12,105,75
HLM,583,478
RHM,329,136
BM29,97,84
Q81,96,79
C20,167,101
FR3M,228,167
C32,289,161
C6,332,106
TG2,273,66
BP1,543,201
TG1,133,46
TGM2,189,121
TE14,134,26
BM3,48,0
BM9,612,121
HG44,155,0
HG64,82,26
PM27,326,116
PM28,305,92
TM36,225,49
TM37,244,76
T50,350,105
T51,346,43
TM43,247,191
T15,30,15
T16,109,36
T17,228,66
T18,81,46
B9,213,86
B10,516,184
B14,208,61
WCB,143,87
ACB,93,61
CY,28,8
AM46,408,66
A12,194,95
BE45,363,56
BE39,707,183
BE40,339,201
Y79M,453,238
CR29,56,0
KLM,345,278
SE34,270,53
KB7,65,54
SE31,187,8
J56,15,10
J57,362,332
J57L,13,8
J33,129,54
J34,123,47
BL8,679,306
J36,482,94
J54,226,131
J55,141,100
J43,190,69
J46,63,37
KB1,239,77
GBM,677,358
SE14,187,61
SE50,591,393
J40,206,21
JM1,268,116
J32,199,74
A11,368,178
TR1,391,153
JBM,342,227
TE2,213,133
CR31,93,14
J1,368,127
J2,200,96
J3,308,122
T37,1163,437
KB3,149,54
KBM,239,146
J4,172,33
TGM1,388,211
TG3,208,75
TG6,176,69
TG7,362,135
CR30,54,9
RCM,151,61
EPM,286,123
TGM3,553,218
KB14,58,39
J41,350,107
JBM2,144,50
J39,250,58
J52,626,129
J51,655,305
J53,215,71
T19,881,324
J49,922,549
J27,291,65
TB14,43,3
U19,501,244
U6,95,49
U45,159,43
BBM7,175,145
BE12,459,117
HG41,461,128
HG43,487,169
MN1,257,60
MNRM,355,190
MN2,303,83
C7,459,238
C17,66,0
C20M,550,441
T41,202,93
T42,86,0
TM42,261,234
J48,745,269
BH1,57,45
BH2,47,29
BKE7,172,153
BR5,152,59
BRM3,406,205
BRM4,176,38
M16,124,37
M20,36,6
M35,91,14
M36,17,0
M37,35,2
M38,39,9
MM3,222,134
MP12,220,69
MP13,396,214
MP1M,522,281
PP1,257,38
PP2,192,115
PP3,345,108
PP4,166,0
PP5,346,98
TP10,83,6
TP14,53,8
TP16,668,574
TP17,119,61
TP18,383,325
TP2,85,6
TPMG,116,79
TP36,250,37
TPM4,343,120
TPM5,342,198
TPM6,358,138
TP27,257,121
TPMN,645,257
TPMP,808,216
WDB1,75,20
Y23,823,250
Y24,181,50
Y56,45,15
BBM1,406,219
BBM8,329,113
BJ10,310,89
BJ11,100,7
BJ12,550,100
BJ17,172,93
BJ18,324,106
BJ28,669,347
BJ3,1054,291
BJ33,366,247
BJ42,450,125
BJ45,232,137
SK44,10,0
U48,93,36
U5,101,42
JM14,493,240
JM12,468,236
W39,210,4
PL67,735,317
SK40,10,0
U9,400,42
U26,595,154
U25,625,161
U24T,46,19
U24,364,79
U23,713,265
U22,495,158
U21,313,110
U2,1109,388
J45,361,140
TM25,128,4
TM26,124,27
TM27,239,172
J37,269,71
BM1,60,16
BM2,53,23
BM26,460,272
BWM,220,119
TBMT,150,24
TPM,384,234
U29,338,313
U27,20,13
U18,312,99
U30,143,82
SK48,50,50
TE25,298,127
TE3,19,0
TE4,30,3
U28,15,2
A15,59,28
BM28,51,2
BM30,46,2
BTM,284,125
BTM2,496,328
SAM2,334,165
TBM2,243,242
TJ34,350,220
U31,348,185
BL13,413,165
HG10,248,99
W3,1000,217
